8.738020658493041992e-01,6.397766494750976562e+01,4.389143676757812500e+02,1.000000000000000000e+00,2.148369216918945312e+01
8.738020658493041992e-01,6.397766494750976562e+01,4.389143676757812500e+02,9.999999776482582092e-03,1.757487869262695312e+01
1.573905706405639648e+00,3.082360458374023438e+01,4.606673889160156250e+02,1.000000000000000000e+00,9.487451553344726562e+00
1.573905706405639648e+00,3.082360458374023438e+01,4.606673889160156250e+02,9.999999776482582092e-03,7.426435470581054688e+00
1.416676044464111328e+00,1.047974090576171875e+02,2.621226806640625000e+02,1.000000000000000000e+00,6.536013031005859375e+01
1.416676044464111328e+00,1.047974090576171875e+02,2.621226806640625000e+02,9.999999776482582092e-03,5.814932632446289062e+01
1.121854305267333984e+00,9.540983581542968750e+01,5.086339111328125000e+02,1.000000000000000000e+00,5.933074951171875000e+01
1.121854305267333984e+00,9.540983581542968750e+01,5.086339111328125000e+02,9.999999776482582092e-03,2.641070175170898438e+01
5.078833103179931641e-01,5.592945861816406250e+01,2.013325500488281250e+02,1.000000000000000000e+00,3.716594219207763672e+00
5.078833103179931641e-01,5.592945861816406250e+01,2.013325500488281250e+02,9.999999776482582092e-03,0.000000000000000000e+00
1.849610567092895508e+00,6.998020172119140625e+01,1.529120025634765625e+02,1.000000000000000000e+00,3.313225173950195312e+01
1.849610567092895508e+00,6.998020172119140625e+01,1.529120025634765625e+02,9.999999776482582092e-03,1.310936355590820312e+01
1.726474523544311523e+00,7.118659210205078125e+01,3.977279968261718750e+02,1.000000000000000000e+00,4.129941558837890625e+01
1.726474523544311523e+00,7.118659210205078125e+01,3.977279968261718750e+02,9.999999776482582092e-03,3.313912963867187500e+01
1.172358274459838867e+00,7.871979522705078125e+01,5.976267089843750000e+02,1.000000000000000000e+00,4.356241607666015625e+01
1.172358274459838867e+00,7.871979522705078125e+01,5.976267089843750000e+02,9.999999776482582092e-03,3.656007003784179688e+01
1.685536503791809082e+00,5.344113540649414062e+01,4.212259521484375000e+02,1.000000000000000000e+00,2.450260543823242188e+01
1.685536503791809082e+00,5.344113540649414062e+01,4.212259521484375000e+02,9.999999776482582092e-03,2.312019157409667969e+01
1.327696323394775391e+00,8.753932952880859375e+01,1.118586196899414062e+02,1.000000000000000000e+00,3.635613250732421875e+01
